"Id","SalePrice"
1461,119964.633315712
1462,158881.288893728
1463,182899.855256537
1464,200594.335171745
1465,195596.220097324
1466,169899.699751225
1467,179037.048324613
1468,162993.368428179
1469,190219.906370492
1470,119729.489404318
1471,172342.232377706
1472,98992.479958276
1473,96214.3743880925
1474,144296.813120981
1475,111861.867435287
1476,359084.418530888
1477,253246.152159605
1478,286324.747511775
1479,286201.534191635
1480,542279.05786079
1481,337897.998570951
1482,206750.479056077
1483,173620.65471509
1484,164039.896767706
1485,182771.256990224
1486,191190.667000677
1487,339638.740353039
1488,228203.607789134
1489,191540.927510337
1490,235691.676671807
1491,192791.825176541
1492,91758.7065893466
1493,182632.223702401
1494,294036.759455578
1495,284801.081851535
1496,225450.302339411
1497,179887.980343992
1498,185868.122703853
1499,164747.252591435
1500,160045.335064596
1501,179922.528881903
1502,156461.830761938
1503,319912.142197731
1504,241504.301630478
1505,226456.632527395
1506,193466.214818158
1507,251854.799582524
1508,194399.55925045
1509,156263.647287424
1510,147612.791775912
1511,163519.44260244
1512,175367.115622742
1513,139779.932276958
1514,166222.279255089
1515,190036.18242276
1516,150337.4112819
1517,173120.536146205
1518,131553.124581342
1519,216093.25886889
1520,128362.138161201
1521,132994.621309276
1522,173971.052592578
1523,111910.971705196
1524,115795.261067888
1525,117904.196358748
1526,110322.656958741
1527,111381.024276788
1528,132833.096436039
1529,157923.4903751
1530,200262.269519168
1531,114878.550607845
1532,100090.169699506
1533,146458.839183782
1534,120916.309843142
1535,142495.773128517
1536,109545.357512723
1537,62363.6109942213
1538,143615.089933978
1539,175326.935069796
1540,81089.3952471406
1541,135484.874799072
1542,139028.664959653
1543,177845.174981924
1544,86963.5116625701
1545,115087.789239593
1546,136858.247422833
1547,131934.832661368
1548,132166.637950405
1549,121792.78083074
1550,137610.593325427
1551,108190.844058436
1552,134073.385270991
1553,139339.787684456
1554,120339.448826247
1555,163898.147879066
1556,84013.8283844483
1557,105443.391269736
1558,105491.85735884
1559,82597.7347293335
1560,131230.250982512
1561,115304.145976666
1562,132149.623568356
1563,121517.173709329
1564,163706.614402681
1565,149505.701038664
1566,231263.624465081
1567,81006.643960309
1568,239864.972723323
1569,135904.546246509
1570,134959.949401426
1571,115399.159386138
1572,139552.153435133
1573,248086.787908492
1574,116642.819210004
1575,233146.446801982
1576,261163.998984886
1577,180389.488140981
1578,143615.739117278
1579,144069.125351303
1580,193548.929294782
1581,156223.56247079
1582,125229.26967519
1583,308842.74728969
1584,219897.945425686
1585,140734.868967914
1586,78865.3197073772
1587,108367.059249558
1588,147969.951840392
1589,98285.0573680664
1590,129735.560852103
1591,96610.1581792474
1592,119855.617022564
1593,126924.686394672
1594,127348.940294905
1595,107210.474532444
1596,222105.295910075
1597,200664.520638543
1598,217067.65673018
1599,161517.331432432
1600,153096.587494083
1601,69831.6239165996
1602,113483.992446863
1603,71939.8177560153
1604,271969.838885567
1605,234147.421717916
1606,161148.255428505
1607,193131.130378795
1608,215748.804324704
1609,181290.421241973
1610,155035.788130412
1611,134919.182750375
1612,170609.172766734
1613,166312.586609394
1614,112961.163423872
1615,91684.6099582616
1616,81372.2043810318
1617,91302.4224184145
1618,134703.89480166
1619,141991.266893414
1620,158342.338342447
1621,131280.040112688
